day_index,date,active_vm_count,total_vcpu,fleet_avg_cpu_utilization_pct,compute_energy_kwh,facility_energy_kwh,operational_carbon_kg,embodied_carbon_kg,total_carbon_kg
0,2024-01-01,317222,993472.0,10.3901,25980.2683,30786.6179,12799.6903,10455.3586,23255.0489
1,2024-01-02,300419,882390.0,10.8546,23368.5242,27691.7011,11512.9632,10309.4279,21822.3911
2,2024-01-03,290231,857362.0,10.4663,22467.6177,26624.127,11069.1139,10224.9583,21294.0723
3,2024-01-04,311591,961078.0,10.8876,25475.1275,30188.0261,12550.8228,10426.9474,22977.7702
4,2024-01-05,321817,1012858.0,11.0139,26939.0951,31922.8277,13272.0752,10507.5589,23779.6341
5,2024-01-06,317816,1014234.0,10.6974,26746.1256,31694.1589,13177.005,10490.6192,23667.6242
6,2024-01-07,312099,955594.0,11.036,25431.172,30135.9389,12529.1673,10459.97,22989.1373
7,2024-01-08,310308,957290.0,10.7785,25300.0361,29980.5428,12464.5606,10557.1125,23021.6731
8,2024-01-09,301234,912064.0,10.6393,24013.9162,28456.4907,11830.9283,10369.0001,22199.9284
9,2024-01-10,298644,905982.0,10.5216,23777.5664,28176.4161,11714.4859,10254.727,21969.2129
10,2024-01-11,319693,1021138.0,10.6378,26884.65,31858.3103,13245.2518,10532.5027,23777.7544
11,2024-01-12,319266,1067080.0,11.6079,28834.6401,34169.0486,14205.9528,10565.229,24771.1818
12,2024-01-13,316898,1024226.0,11.6429,27702.2672,32827.1866,13648.067,10583.4596,24231.5266
13,2024-01-14,318708,1016078.0,10.8477,26903.9783,31881.2143,13254.7743,10539.4764,23794.2507
14,2024-01-15,314877,979782.0,10.8634,25953.9357,30755.4138,12786.7171,10519.7699,23306.4869
15,2024-01-16,289201,880222.0,10.7852,23267.4114,27571.8825,11463.148,10276.7736,21739.9216
16,2024-01-17,297799,932412.0,9.6362,23880.7548,28298.6945,11765.3237,10258.7354,22024.0591
17,2024-01-18,312026,1017430.0,10.7895,26897.4462,31873.4738,13251.5561,10636.5236,23888.0797
18,2024-01-19,310375,1006582.0,11.2982,26976.8834,31967.6069,13290.6924,10694.2003,23984.8927
19,2024-01-20,312995,1001944.0,11.9027,27285.743,32333.6055,13442.8581,10749.9757,24192.8339
20,2024-01-21,322191,1088456.0,10.9267,28881.9578,34225.12,14229.2648,10639.6659,24868.9307
21,2024-01-22,317440,1040786.0,10.3124,27159.7823,32184.3421,13380.8011,10545.2098,23926.011
22,2024-01-23,284320,860378.0,11.2192,23009.8979,27266.729,11336.2789,10316.5035,21652.7824
23,2024-01-24,278452,824048.0,11.1278,21984.4315,26051.5513,10831.0627,10256.774,21087.8367
24,2024-01-25,318390,1005496.0,12.4967,27809.6588,32954.4456,13700.9755,10500.315,24201.2906
25,2024-01-26,315657,1011320.0,10.497,26524.3377,31431.3402,13067.7368,10525.8466,23593.5834
26,2024-01-27,325359,1065276.0,10.4718,27920.3137,33085.5717,13755.4919,10629.9857,24385.4776
27,2024-01-28,319339,1047456.0,10.7636,27671.8389,32791.129,13633.0759,10657.5507,24290.6266
28,2024-01-29,318950,1079792.0,11.5297,29117.7096,34504.4858,14345.4125,10523.2409,24868.6534
29,2024-01-30,284278,911360.0,12.1311,24967.7962,29586.8385,12300.876,10259.2503,22560.1264
